time,OD,well,strain,carbon_source,growth_rates
8:59:10,0.347,B10,oa,21,0.6980198019801979
9:29:10,0.545,B10,oa,21,0.39015817223198596
9:59:10,0.614,B10,oa,21,0.16134185303514392
10:29:10,0.646,B10,oa,21,0.1477611940298507
10:59:10,0.701,B10,oa,21,0.15310344827586206
11:29:10,0.751,B10,oa,21,0.16261203585147246
11:59:10,0.815,B10,oa,21,0.0798122065727699
12:29:10,0.826,B10,oa,21,0.04240282685512371
12:59:10,0.868,B10,oa,21,0.10360360360360357
13:29:10,0.924,B10,oa,21,0.08820403825717318
13:59:10,0.96,B10,oa,21,0.09474768280123581
14:29:10,0.999,B10,oa,21,0.127783155856728
14:59:10,1.077,B10,oa,21,0.07071622846781511
15:29:10,1.097,B10,oa,21,0.01980198019801982
15:59:10,1.104,B10,oa,21,0.008888888888888898
16:29:10,1.092,B10,oa,21,-0.0008920606601247903
16:59:10,1.095,B10,oa,21,0.0044483985765123605
17:29:10,1.099,B10,oa,21,-0.007992895204262983
17:59:10,1.096,B10,oa,21,-0.03408071748878907
18:29:10,1.076,B10,oa,21,0.007352941176470594
18:59:10,1.108,B10,oa,21,0.009795191451469188
19:29:10,1.086,B10,oa,21,-0.026387625113739686
19:59:10,1.075,B10,oa,21,0.025594149908592344
20:29:10,1.107,B10,oa,21,0.03726708074534145
20:59:10,1.111,B10,oa,21,-0.014964788732394284
21:29:10,1.085,B10,oa,21,-0.0063063063063062115
21:59:10,1.106,B10,oa,21,-0.004428697962799039
22:29:10,1.085,B10,oa,21,-0.02533936651583713
22:59:10,1.082,B10,oa,21,0.0454132606721163
23:29:10,1.133,B10,oa,21,0.058874458874458926
23:59:10,1.144,B10,oa,21,-0.0008554319931566397
24:29:10,1.132,B10,oa,21,-0.02859618717504345
24:59:10,1.117,B10,oa,21,-0.040492957746478715
25:29:10,1.091,B10,oa,21,-0.026173285198555878
25:59:10,1.089,B10,oa,21,0.0027100271002709047
26:29:10,1.093,B10,oa,21,-0.013501350135013414
26:59:10,1.075,B10,oa,21,-0.009157509157509165
27:29:10,1.083,B10,oa,21,-0.0009082652134424268
27:59:10,1.074,B10,oa,21,-0.0018331805682859777
28:29:10,1.082,B10,oa,21,-0.026387625113739686
28:59:10,1.046,B10,oa,21,0.047080979284369155
29:29:10,1.131,B10,oa,21,0.023498694516971202
29:59:10,1.07,B10,oa,21,-0.04775022956841143
30:29:10,1.079,B10,oa,21,-0.011850501367365452
30:59:10,1.058,B10,oa,21,0.005576208178438667
31:29:10,1.087,B10,oa,21,0.03354487760652758
31:59:10,1.095,B10,oa,21,0.03414195867026059
32:29:10,1.124,B10,oa,21,0.029798422436459273
32:59:10,1.131,B10,oa,21,-0.006102877070619108
33:29:10,1.118,B10,oa,21,-0.05026455026455021
33:59:10,1.075,B10,oa,21,-0.01834862385321082
34:29:10,1.1,B10,oa,21,-0.03321364452423711
34:59:10,1.039,B10,oa,21,-0.0180436847103515
35:29:10,1.082,B10,oa,21,0.022831050228310626
35:59:10,1.065,B10,oa,21,-0.0009276437847865397
36:29:10,1.081,B10,oa,21,0.021937842778793435
36:59:10,1.09,B10,oa,21,-0.004537205081669796
37:29:10,1.079,B10,oa,21,-0.002754820936639223
37:59:10,1.089,B10,oa,21,-0.01728844404003631
38:29:10,1.06,B10,oa,21,-0.019626168224298978
38:59:10,1.071,B10,oa,21,-0.011131725417439712
39:29:10,1.048,B10,oa,21,0.009451795841209839
39:59:10,1.078,B10,oa,21,0.040441176470588265
40:29:10,1.089,B10,oa,21,-0.002722323049001918
40:59:10,1.074,B10,oa,21,-0.050691244239631485
41:29:10,1.036,B10,oa,21,-0.049665711556829084
41:59:10,1.021,B10,oa,21,0.049370764762826876
42:29:10,1.085,B10,oa,21,0.04553734061930787
42:59:10,1.071,B10,oa,21,-0.03416435826408139
43:29:10,1.048,B10,oa,21,-0.014137606032045148
43:59:10,1.056,B10,oa,21,-0.01872659176029964
44:29:10,1.029,B10,oa,21,0.006724303554274636
44:59:10,1.064,B10,oa,21,0.000930232558139639
45:29:10,1.03,B10,oa,21,-0.0019193857965451072
45:59:10,1.059,B10,oa,21,0.01677539608574093
46:29:10,1.046,B10,oa,21,-0.014150943396226322
46:59:10,1.046,B10,oa,21,-0.009451795841209839
47:29:10,1.037,B10,oa,21,-0.01047619047619059
47:59:10,1.037,B10,oa,21,-0.003820439350525314
48:29:10,1.034,B10,oa,21,0.0573613766730402
48:59:10,1.091,B10,oa,21,0.046070460704606984
49:29:10,1.082,B10,oa,21,-0.07019143117593434
49:59:10,1.017,B10,oa,21,-0.03398058252427177
50:29:10,1.048,B10,oa,21,-0.012241054613936085
50:59:10,1.009,B10,oa,21,0.014749262536873062
51:29:10,1.067,B10,oa,21,0.0473537604456826
51:59:10,1.056,B10,oa,21,-0.011235955056179785
52:29:10,1.063,B10,oa,21,0.01690140845070424
52:59:10,1.078,B10,oa,21,-0.01657458563535913
53:29:10,1.036,B10,oa,21,-0.020057306590258006
53:59:10,1.057,B10,oa,21,-0.0028169014084506025
54:29:10,1.035,B10,oa,21,0.012452107279693604
54:59:10,1.072,B10,oa,21,0.011131725417439712
55:29:10,1.045,B10,oa,21,-0.006628787878787989
55:59:10,1.069,B10,oa,21,-0.0037348272642390326
56:29:10,1.045,B10,oa,21,-0.014258555133079755
56:59:10,1.051,B10,oa,21,-0.01041666666666678
57:29:10,1.028,B10,oa,21,0.013448607108549485
57:59:10,1.064,B10,oa,21,-0.014953271028037396
58:29:10,1.015,B10,oa,21,-0.0331707317073171
58:59:10,1.023,B10,oa,21,-0.007722007722007728
59:29:10,1.01,B10,oa,21,-0.020648967551622547
59:59:10,1.008,B10,oa,21,0.0344827586206898
60:29:10,1.057,B10,oa,21,0.04942965779467685
60:59:10,1.07,B10,oa,21,-0.041237113402061897
61:29:10,1.011,B10,oa,21,-0.0684523809523809
61:59:10,1.006,B10,oa,21,0.04208416833667338
62:29:10,1.046,B10,oa,21,-0.0304761904761905
62:59:10,0.971,B10,oa,21,-0.026915113871635636
63:29:10,1.028,B10,oa,21,0.03515625000000003
63:59:10,1.006,B10,oa,21,-0.03692614770459085
64:29:10,0.99,B10,oa,21,0.012158054711246211
64:59:10,1.027,B10,oa,21,0.04832347140039452
65:29:10,1.058,B10,oa,21,-0.019305019305019322
65:59:10,1.008,B10,oa,21,-0.008048289738430591
66:29:10,1.047,B10,oa,21,0.023346303501945546
66:59:10,1.02,B10,oa,21,-0.0068762278978390145
67:29:10,1.024,B10,oa,21,-0.022526934378060748
67:59:10,0.992,B10,oa,21,-0.003015075376884313
68:29:10,1.016,B10,oa,21,0.035363457760314264
68:59:10,1.038,B10,oa,21,-0.014548981571290132
69:29:10,0.996,B10,oa,21,-0.023928215353938208
69:59:10,1.01,B10,oa,21,-0.010923535253227309
70:29:10,0.987,B10,oa,21,0.004032258064516132
70:59:10,1.006,B10,oa,21,0.028684470820969254
71:29:10,1.016,B10,oa,21,-0.003917727717923608
71:59:10,0.998,B10,oa,21,-0.028798411122144905
72:29:10,0.983,B10,oa,21,-0.01310483870967732
72:59:10,0.98,B10,oa,21,-0.010060362173038238
73:29:10,0.966,B10,oa,21,-0.02036659877800409
73:59:10,0.971,B10,oa,21,-0.0030800821355236167
74:29:10,0.98,B10,oa,21,0.020429009193054154
74:59:10,0.988,B10,oa,21,-0.03420523138833001
75:29:10,0.959,B10,oa,21,-0.1037037037037038
0:29:10,0.087,B11,oa,21,-0.02272727272727275
0:59:10,0.087,B11,oa,21,0.0
1:29:10,0.087,B11,oa,21,0.02272727272727275
1:59:10,0.088,B11,oa,21,0.02247191011235957
2:29:10,0.089,B11,oa,21,0.022222222222222244
2:59:10,0.09,B11,oa,21,0.043956043956043994
3:29:10,0.093,B11,oa,21,0.09574468085106391
3:59:10,0.097,B11,oa,21,0.13999999999999999
4:29:10,0.104,B11,oa,21,0.16666666666666655
4:59:10,0.116,B11,oa,21,0.1779661016949153
5:29:10,0.126,B11,oa,21,0.22480620155038758
5:59:10,0.143,B11,oa,21,0.33333333333333326
6:29:10,0.169,B11,oa,21,0.24719101123595513
6:59:10,0.19,B11,oa,21,0.2408376963350786
7:29:10,0.214,B11,oa,21,0.4598214285714285
7:59:10,0.249,B11,oa,21,0.4591836734693877
8:29:10,0.287,B11,oa,21,0.14763231197771587
8:59:10,0.404,B11,oa,21,0.5360230547550434
9:29:10,0.569,B11,oa,21,0.4899082568807339
9:59:10,0.626,B11,oa,21,0.16449511400651462
10:29:10,0.67,B11,oa,21,0.13467492260061914
10:59:10,0.725,B11,oa,21,0.14978601997146931
11:29:10,0.781,B11,oa,21,0.151797603195739
11:59:10,0.852,B11,oa,21,0.09202453987730057
12:29:10,0.849,B11,oa,21,0.06416464891041168
12:59:10,0.888,B11,oa,21,0.11290322580645172
13:29:10,0.941,B11,oa,21,0.09956709956709953
13:59:10,0.971,B11,oa,21,0.07812499999999996
14:29:10,1.033,B11,oa,21,0.11711711711711711
14:59:10,1.103,B11,oa,21,0.09099350046425253
15:29:10,1.111,B11,oa,21,0.024612579762990097
15:59:10,1.125,B11,oa,21,-0.00452898550724628
16:29:10,1.121,B11,oa,21,-0.00824175824175835
16:59:10,1.124,B11,oa,21,0.006392694063926845
17:29:10,1.126,B11,oa,21,0.0009099181073704385
17:59:10,1.115,B11,oa,21,-0.02098540145985393
18:29:10,1.088,B11,oa,21,0.011152416356877333
18:59:10,1.123,B11,oa,21,0.00902527075812275
19:29:10,1.099,B11,oa,21,-0.03038674033149184
19:59:10,1.094,B11,oa,21,0.01953488372093015
20:29:10,1.127,B11,oa,21,0.032520325203252064
20:59:10,1.136,B11,oa,21,-0.01980198019801982
21:29:10,1.11,B11,oa,21,-0.004608294930875478
21:59:10,1.129,B11,oa,21,0.0
22:29:10,1.105,B11,oa,21,-0.022119815668202786
22:59:10,1.101,B11,oa,21,0.04436229205175604
23:29:10,1.155,B11,oa,21,0.05472197705207399
23:59:10,1.169,B11,oa,21,-0.000874125874125972
24:29:10,1.154,B11,oa,21,-0.023851590106006994
24:59:10,1.136,B11,oa,21,-0.03670546105640101
25:29:10,1.108,B11,oa,21,-0.02566452795600369
25:59:10,1.107,B11,oa,21,0.0018365472910927474
26:29:10,1.111,B11,oa,21,-0.01280878316559928
26:59:10,1.092,B11,oa,21,-0.009302325581395357
27:29:10,1.101,B11,oa,21,-0.0009233610341642566
27:59:10,1.091,B11,oa,21,-0.0009310986964617224
28:29:10,1.099,B11,oa,21,-0.025878003696857693
28:59:10,1.062,B11,oa,21,0.04684512428298272
29:29:10,1.149,B11,oa,21,0.021220159151193654
29:59:10,1.089,B11,oa,21,-0.04859813084112154
30:29:10,1.097,B11,oa,21,-0.011121408711770168
30:59:10,1.076,B11,oa,21,0.00756143667296787
31:29:10,1.103,B11,oa,21,0.03403863845446175
31:59:10,1.113,B11,oa,21,0.03378995433789968
32:29:10,1.141,B11,oa,21,0.03202846975088971
32:59:10,1.147,B11,oa,21,-0.005305039787798413
33:29:10,1.134,B11,oa,21,-0.050089445438282684
33:59:10,1.09,B11,oa,21,-0.016744186046511643
34:29:10,1.114,B11,oa,21,-0.03272727272727275
34:59:10,1.053,B11,oa,21,-0.017324350336862384
35:29:10,1.095,B11,oa,21,0.024029574861367857
35:59:10,1.078,B11,oa,21,-0.0009389671361503399
36:29:10,1.094,B11,oa,21,0.023126734505088006
36:59:10,1.102,B11,oa,21,-0.0018348623853211023
37:29:10,1.089,B11,oa,21,-0.0009267840593142836
37:59:10,1.099,B11,oa,21,-0.017447199265381
38:29:10,1.07,B11,oa,21,-0.01698113207547171
38:59:10,1.078,B11,oa,21,-0.011204481792717097
39:29:10,1.058,B11,oa,21,0.006679389312977211
39:59:10,1.088,B11,oa,21,0.038033395176252247
40:29:10,1.102,B11,oa,21,-0.0036730945821854947
40:59:10,1.085,B11,oa,21,-0.04934823091247666
41:29:10,1.047,B11,oa,21,-0.051158301158301306
41:59:10,1.033,B11,oa,21,0.04799216454456409
42:29:10,1.098,B11,oa,21,0.046082949308755804
42:59:10,1.083,B11,oa,21,-0.034547152194210944
43:29:10,1.061,B11,oa,21,-0.014312977099236547
43:59:10,1.068,B11,oa,21,-0.017992424242424362
44:29:10,1.041,B11,oa,21,0.007774538386783292
44:59:10,1.075,B11,oa,21,0.0009398496240602555
45:29:10,1.042,B11,oa,21,-0.004854368932038947
45:59:10,1.073,B11,oa,21,0.015108593012275746
46:29:10,1.06,B11,oa,21,-0.012428298279158605
46:59:10,1.058,B11,oa,21,-0.008604206500956136
47:29:10,1.05,B11,oa,21,-0.008678881388621138
47:59:10,1.047,B11,oa,21,-0.0028929604628735697
48:29:10,1.046,B11,oa,21,0.05222437137330759
48:59:10,1.107,B11,oa,21,0.04399633363886347
49:29:10,1.097,B11,oa,21,-0.0683918669131239
49:59:10,1.03,B11,oa,21,-0.03343166175024585
50:29:10,1.062,B11,oa,21,-0.007633587786259549
50:59:10,1.017,B11,oa,21,0.018830525272546986
51:29:10,1.077,B11,oa,21,0.0440487347703844
51:59:10,1.068,B11,oa,21,-0.003787878787878791
52:29:10,1.065,B11,oa,21,0.020696142991533415
52:59:10,1.086,B11,oa,21,-0.025046382189239248
53:29:10,1.047,B11,oa,21,-0.020270270270270396
53:59:10,1.065,B11,oa,21,-0.0009460737937560189
54:29:10,1.044,B11,oa,21,0.014492753623188527
54:59:10,1.078,B11,oa,21,0.009328358208955232
55:29:10,1.056,B11,oa,21,-0.0028708133971292954
55:59:10,1.071,B11,oa,21,0.0
56:29:10,1.052,B11,oa,21,-0.017224880382775136
56:59:10,1.056,B11,oa,21,-0.016175071360608854
57:29:10,1.041,B11,oa,21,0.012645914396887278
57:59:10,1.07,B11,oa,21,-0.012218045112782069
58:29:10,1.025,B11,oa,21,-0.04039408866995089
58:59:10,1.036,B11,oa,21,-0.004887585532746719
59:29:10,1.017,B11,oa,21,-0.014851485148514755
59:59:10,1.015,B11,oa,21,0.04662698412698406
60:29:10,1.052,B11,oa,21,0.05865657521286666
60:59:10,1.067,B11,oa,21,-0.04299065420560751
61:29:10,1.008,B11,oa,21,-0.06330365974282895
61:59:10,0.998,B11,oa,21,0.0347912524850896
62:29:10,1.05,B11,oa,21,-0.03346080305927345
62:59:10,0.966,B11,oa,21,-0.01853759011328529
63:29:10,1.024,B11,oa,21,0.03404669260700392
63:59:10,1.002,B11,oa,21,-0.037773359840954306
64:29:10,0.987,B11,oa,21,0.02121212121212112
64:59:10,1.014,B11,oa,21,0.06621226874391438
65:29:10,1.036,B11,oa,21,-0.017958412098298588
65:59:10,0.994,B11,oa,21,-0.010912698412698532
66:29:10,1.028,B11,oa,21,0.011461318051575943
66:59:10,1.018,B11,oa,21,-0.022549019607843047
