time,OD,well,strain,carbon_source
6:29:10,0.0965,A3,at,0
6:59:10,0.0965,A3,at,0
7:29:10,0.0978,A3,at,0
7:59:10,0.1001,A3,at,0
8:29:10,0.0999,A3,at,0
8:59:10,0.1028,A3,at,0
9:29:10,0.1056,A3,at,0
9:59:10,0.1079,A3,at,0
10:29:10,0.1111,A3,at,0
10:59:10,0.1141,A3,at,0
11:29:10,0.1175,A3,at,0
11:59:10,0.1192,A3,at,0
12:29:10,0.1224,A3,at,0
12:59:10,0.1274,A3,at,0
13:29:10,0.1325,A3,at,0
13:59:10,0.1377,A3,at,0
14:29:10,0.144,A3,at,0
14:59:10,0.1513,A3,at,0
15:29:10,0.1528,A3,at,0
15:59:10,0.1651,A3,at,0
16:29:10,0.1729,A3,at,0
16:59:10,0.1707,A3,at,0
17:29:10,0.1753,A3,at,0
17:59:10,0.1762,A3,at,0
18:29:10,0.1796,A3,at,0
18:59:10,0.1841,A3,at,0
19:29:10,0.1833,A3,at,0
19:59:10,0.1877,A3,at,0
20:29:10,0.1989,A3,at,0
20:59:10,0.2057,A3,at,0
21:29:10,0.2123,A3,at,0
21:59:10,0.217,A3,at,0
22:29:10,0.2188,A3,at,0
22:59:10,0.2298,A3,at,0
23:29:10,0.2402,A3,at,0
23:59:10,0.2472,A3,at,0
24:29:10,0.2583,A3,at,0
24:59:10,0.2743,A3,at,0
25:29:10,0.2742,A3,at,0
25:59:10,0.2849,A3,at,0
26:29:10,0.271,A3,at,0
26:59:10,0.2833,A3,at,0
27:29:10,0.2832,A3,at,0
27:59:10,0.2825,A3,at,0
28:29:10,0.299,A3,at,0
28:59:10,0.3031,A3,at,0
29:29:10,0.3104,A3,at,0
29:59:10,0.3263,A3,at,0
30:29:10,0.342,A3,at,0
30:59:10,0.3456,A3,at,0
31:29:10,0.3709,A3,at,0
31:59:10,0.3964,A3,at,0
32:29:10,0.4254,A3,at,0
32:59:10,0.4473,A3,at,0
33:29:10,0.4812,A3,at,0
33:59:10,0.5088,A3,at,0
34:29:10,0.5387,A3,at,0
34:59:10,0.5528,A3,at,0
35:29:10,0.5759,A3,at,0
35:59:10,0.5919,A3,at,0
36:29:10,0.6034,A3,at,0
36:59:10,0.6097,A3,at,0
37:29:10,0.6116,A3,at,0
37:59:10,0.6318,A3,at,0
38:29:10,0.6415,A3,at,0
38:59:10,0.6532,A3,at,0
39:29:10,0.6668,A3,at,0
39:59:10,0.6692,A3,at,0
40:29:10,0.6746,A3,at,0
40:59:10,0.6799,A3,at,0
41:29:10,0.6876,A3,at,0
41:59:10,0.6957,A3,at,0
42:29:10,0.7068,A3,at,0
42:59:10,0.7106,A3,at,0
43:29:10,0.7256,A3,at,0
43:59:10,0.727,A3,at,0
44:29:10,0.7361,A3,at,0
44:59:10,0.741,A3,at,0
45:29:10,0.7665,A3,at,0
45:59:10,0.761,A3,at,0
46:29:10,0.7743,A3,at,0
46:59:10,0.7925,A3,at,0
47:29:10,0.7839,A3,at,0
47:59:10,0.7908,A3,at,0
48:29:10,0.8261,A3,at,0
48:59:10,0.8286,A3,at,0
49:29:10,0.8227,A3,at,0
49:59:10,0.8393,A3,at,0
50:29:10,0.8357,A3,at,0
50:59:10,0.8491,A3,at,0
51:29:10,0.8596,A3,at,0
51:59:10,0.866,A3,at,0
52:29:10,0.8765,A3,at,0
52:59:10,0.8773,A3,at,0
53:29:10,0.8817,A3,at,0
53:59:10,0.8907,A3,at,0
54:29:10,0.8919,A3,at,0
54:59:10,0.9079,A3,at,0
55:29:10,0.9128,A3,at,0
55:59:10,0.9182,A3,at,0
56:29:10,0.9316,A3,at,0
56:59:10,0.9353,A3,at,0
57:29:10,0.9464,A3,at,0
57:59:10,0.9513,A3,at,0
58:29:10,0.947,A3,at,0
58:59:10,0.9497,A3,at,0
59:29:10,0.9713,A3,at,0
59:59:10,0.9638,A3,at,0
60:29:10,0.9707,A3,at,0
60:59:10,0.9797,A3,at,0
61:29:10,0.988,A3,at,0
61:59:10,0.9932,A3,at,0
62:29:10,0.9926,A3,at,0
62:59:10,0.994,A3,at,0
63:29:10,0.9993,A3,at,0
63:59:10,1.0217,A3,at,0
64:29:10,1.0218,A3,at,0
64:59:10,1.0293,A3,at,0
65:29:10,1.0267,A3,at,0
65:59:10,1.0283,A3,at,0
66:29:10,1.0265,A3,at,0
66:59:10,1.0297,A3,at,0
67:29:10,1.0395,A3,at,0
67:59:10,1.0233,A3,at,0
68:29:10,1.03,A3,at,0
68:59:10,1.0245,A3,at,0
69:29:10,1.026,A3,at,0
69:59:10,1.0224,A3,at,0
70:29:10,1.0378,A3,at,0
70:59:10,1.0285,A3,at,0
71:29:10,1.0299,A3,at,0
71:59:10,1.0268,A3,at,0
72:29:10,1.009,A3,at,0
72:59:10,1.0099,A3,at,0
73:29:10,1.0079,A3,at,0
73:59:10,1.0234,A3,at,0
74:29:10,1.0022,A3,at,0
74:59:10,0.9966,A3,at,0
75:29:10,0.9903,A3,at,0
Unnamed: 152,,A3,at,0
0:29:10,0.088,A3,oa,0
0:59:10,0.088,A3,oa,0
1:29:10,0.088,A3,oa,0
1:59:10,0.088,A3,oa,0
2:29:10,0.087,A3,oa,0
2:59:10,0.088,A3,oa,0
3:29:10,0.087,A3,oa,0
3:59:10,0.088,A3,oa,0
4:29:10,0.088,A3,oa,0
4:59:10,0.088,A3,oa,0
5:29:10,0.089,A3,oa,0
5:59:10,0.091,A3,oa,0
6:29:10,0.093,A3,oa,0
6:59:10,0.096,A3,oa,0
7:29:10,0.096,A3,oa,0
7:59:10,0.098,A3,oa,0
8:29:10,0.098,A3,oa,0
8:59:10,0.1,A3,oa,0
